Time,PosX,PosY,PosA,"PosCov[0,0]","PosCov[0,1]","PosCov[0,2]","PosCov[1,0]","PosCov[1,1]","PosCov[1,2]","PosCov[2,0]","PosCov[2,1]","PosCov[2,2]"
1.55,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.56,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.57,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.58,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.59,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.6,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.61,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.62,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.63,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.64,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.65,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.66,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.67,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.68,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.69,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.7,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.71,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
1.72,1215,190,1.570796327,400,8.56E-15,0,8.56E-15,539.75,0,0,0,0.01286049
1.73,1215,190,1.570796327,400,1.75E-14,0,1.75E-14,685.375,0,0,0,0.025944203
